district,party,name,descriptor,year,office,state,cand_key,office_level,bio_in_office,bio_prior_candidacy
,DEM,U.S. Agency for International Development,auditor,2012,Governor,NC,development u,0,0,0
,DEM,Dan Blue,state senator,2012,Governor,NC,blue d,2,0,0
,DEM,Erskine Bowles,"chairman of the National Commission on Fiscal Responsibility and Reform , former UNC System president, former White House Chief of Staff",2012,Governor,NC,bowles e,4,0,0
,DEM,Roy Cooper,Attorney General of North Carolina,2012,Governor,NC,cooper r,3,0,0
,DEM,Janet Cowell,state treasurer,2012,Governor,NC,cowell j,3,0,0
,DEM,Cal Cunningham,former state senator,2012,Governor,NC,cunningham c,2,0,0
,DEM,Anthony Foxx,mayor of Charlotte,2012,Governor,NC,foxx a,1,0,0
,DEM,Kay Hagan,U.S. Senator,2012,Governor,NC,hagan k,4,0,0
,DEM,Jim Hunt,former governor,2012,Governor,NC,hunt j,3,0,0
,DEM,Allen Joines,Mayor of Winston-Salem,2012,Governor,NC,joines a,1,0,0
,DEM,Mike McIntyre,U.S. Representative,2012,Governor,NC,mcintyre m,4,1,0
,DEM,Brad Miller,U.S. Representative,2012,Governor,NC,miller b,4,1,0
,DEM,Richard H. Moore,former North Carolina State Treasurer and candidate for governor in 2008,2012,Governor,NC,moore r,3,0,1
,DEM,Bev Perdue,incumbent governor,2012,Governor,NC,perdue b,3,0,0
,DEM,Heath Shuler,U.S. Representative,2012,Governor,NC,shuler h,4,1,0
,REP,Jim Harney,businessman,2012,Governor,NC,harney j,0,0,0
,REP,Scott Jones,businessman,2012,Governor,NC,jones s,0,0,0
,REP,Jim Mahan,small businessman and former teacher,2012,Governor,NC,mahan j,0,0,0
,REP,Pat McCrory,former mayor of Charlotte and nominee for governor in 2008,2012,Governor,NC,mccrory p,1,0,1
,REP,Charles Kenneth Moss,businessman and preacher,2012,Governor,NC,moss c,0,0,0
,REP,Superior Court,judge,2012,Governor,NC,court s,1,0,0
,REP,Phil Berger,State Senate President Pro Tem,2012,Governor,NC,berger p,2,0,0
,REP,Cherie Berry,state labor commissioner (running for re-election),2012,Governor,NC,berry c,0,0,0
,REP,Peter Brunstetter,state senator,2012,Governor,NC,brunstetter p,2,0,0
,REP,Paul Coble,former mayor of Raleigh and current chairman of the Wake County Board of Commissioners (running for Congress),2012,Governor,NC,coble p,1,0,0
,REP,Steve Troxler,state Agriculture Commissioner (running for re-election),2012,Governor,NC,troxler s,0,0,0
,DEM,Jackie Cilley,former state Senator,2012,Governor,NH,cilley j,2,0,0
,DEM,Maggie Hassan,former majority leader of the New Hampshire Senate,2012,Governor,NH,hassan m,2,0,0
,DEM,Air Force,officer,2012,Governor,NH,force a,0,0,0
,DEM,Mark Connolly,former director of the New Hampshire's Bureau of Securities Regulation,2012,Governor,NH,connolly m,0,0,0
,DEM,Gary Hirshberg,chairman and former CEO of Stonyfield Farm,2012,Governor,NH,hirshberg g,0,0,0
,DEM,John Lynch,incumbent governor,2012,Governor,NH,lynch j,3,0,0
,DEM,Steve Marchand,former mayor of Portsmouth,2012,Governor,NH,marchand s,1,0,0
,REP,Ovide M. Lamontagne,"attorney, 1992 congressional candidate, nominee for governor in 1996 and candidate for the U.S. Senate in 2010",2012,Governor,NH,lamontagne o,0,0,1
,REP,Kevin H. Smith,conservative activist and former state Representative,2012,Governor,NH,smith k,2,1,0
,REP,Bill Binnie,businessman and candidate for the U.S. Senate in 2010,2012,Governor,NH,binnie b,0,0,1
,REP,Jeb Bradley,New Hampshire Senate Majority Leader and former U.S. Representative,2012,Governor,NH,bradley j,4,1,0
,REP,Peter Bragdon,state Senate President,2012,Governor,NH,bragdon p,2,0,0
,REP,Ted Gatsas,Mayor of Manchester,2012,Governor,NH,gatsas t,1,0,0
,REP,Steve Kenda,businessman,2012,Governor,NH,kenda s,0,0,0
,REP,John Lyons,chairman of the New Hampshire Board of Education,2012,Governor,NH,lyons j,0,0,0
,REP,John Stephen,former Health and Human Services Commissioner and Republican nominee for governor in 2010,2012,Governor,NH,stephen j,0,0,1
,DEM,Jay Inslee,U.S. Representative for WA-01 (1999–2012) and WA-04 (1993–1995),2012,Governor,WA,inslee j,4,1,0
,DEM,Lisa Brown,State Senate Majority Leader,2012,Governor,WA,brown l,2,0,0
,DEM,Dow Constantine,King County Executive,2012,Governor,WA,constantine d,1,0,0
,DEM,Christine Gregoire,incumbent Governor,2012,Governor,WA,gregoire c,3,0,0
,DEM,Jim McIntire,State Treasurer ( ran for reelection ),2012,Governor,WA,mcintire j,3,0,0
,DEM,Aaron Reardon,Snohomish County Executive,2012,Governor,WA,reardon a,1,0,0
,DEM,Ron Sims,former King County Executive and Deputy Secretary of Housing and Urban Development,2012,Governor,WA,sims r,1,0,0
,DEM,Brian Sonntag,State Auditor,2012,Governor,WA,sonntag b,3,0,0
,REP,Shahram Hadian,pastor and small business owner,2012,Governor,WA,hadian s,0,0,0
,REP,Rob McKenna,Attorney General of Washington,2012,Governor,WA,mckenna r,3,0,0
,REP,Dave Reichert,U.S. Representative ( ran for reelection ),2012,Governor,WA,reichert d,4,1,0
,IND,L. Dale Sorgen,computer programmer and former pastor,2012,Governor,WA,sorgen l,0,0,0
,DEM,Earl Ray Tomblin,incumbent governor,2012,Governor,WV,tomblin e,3,0,0
,DEM,Jeff Kessler,"state senator , president of the state senate, and candidate for governor in 2011",2012,Governor,WV,kessler j,2,0,1
,DEM,Brooks McCabe,state senator,2012,Governor,WV,mccabe b,2,0,0
,REP,West Virginia University,and candidate for governor in 2011,2012,Governor,WV,university w,0,0,1
,REP,Bill Maloney,businessman and Republican nominee for governor in 2011,2012,Governor,WV,maloney b,0,0,1
,REP,Clark Barnes,state senator and candidate for governor in 2011  (did not file),2012,Governor,WV,barnes c,2,0,1
,REP,Putnam County,prosecutor and candidate for governor in 2011  (did not file),2012,Governor,WV,county p,0,0,1
,REP,West Virginia Republican Party,chairman,2012,Governor,WV,party w,0,0,0
,REP,2006,and 2010 and candidate for the U.S. Senate in 2008,2014,Governor,AK,,0,0,1
,REP,Sean Parnell,incumbent governor,2014,Governor,AK,parnell s,3,0,0
,REP,Bill Walker,former mayor of Valdez and candidate for governor in 2010 (ran as an independent ),2014,Governor,AK,walker b,1,0,1
,REP,Dan Sullivan,Mayor of Anchorage,2014,Governor,AK,sullivan d,1,0,0
,REP,Kelly Wolf,Kenai Peninsula Borough Assemblyman and former state representative,2014,Governor,AK,wolf k,2,1,0
,REP,Lesil McGuire,state senator,2014,Governor,AK,mcguire l,2,0,0
,DEM,Byron Mallott,"businessman, former mayor of Juneau , former president of the Alaska Federation of Natives and former executive director of the Alaska Permanent Fund",2014,Governor,AK,mallott b,1,0,0
,DEM,in 1984,and candidate for governor in 1986,2014,Governor,AK,in,0,0,1
,DEM,Hollis French,state senator and candidate for governor in 2010 (running for lieutenant governor ),2014,Governor,AK,french h,2,0,1
,DEM,Ethan Berkowitz,"former Minority Leader of the Alaska House of Representatives , nominee for lieutenant governor in 2006 , for Congress in 2008 and governor in 2010",2014,Governor,AK,berkowitz e,3,1,1
,DEM,Les Gara,state representative,2014,Governor,AK,gara l,2,1,0
,DEM,Scott McAdams,former mayor of Sitka and nominee for the U.S. Senate in 2010,2014,Governor,AK,mcadams s,1,0,1
,DEM,Bill Wielechowski,state senator,2014,Governor,AK,wielechowski b,2,0,0
,DEM,Carolyn Clift,treasurer of the Alaska Libertarian Party,2014,Governor,AK,clift c,0,0,0
,DEM,Bob Williams,teacher,2014,Governor,AK,williams b,0,0,0
,DEM,Andrew C. Lee,gold miner,2014,Governor,AK,lee a,0,0,0
,REP,Robert J. Bentley,incumbent Governor,2014,Governor,AL,bentley r,3,0,0
,REP,Morgan County,Commissioner,2014,Governor,AL,county m,0,0,0
,REP,Scottsboro,in 2012,2014,Governor,AL,scottsboro,0,0,0
,REP,Tommy Battle,Mayor of Huntsville,2014,Governor,AL,battle t,1,0,0
,REP,Bradley Byrne,U.S. Representative and candidate for Governor in 2010 ( ran for re-election ),2014,Governor,AL,byrne b,4,1,1
,REP,Jefferson County,Commission (ran for re-election),2014,Governor,AL,county j,0,0,0
,REP,Beth Chapman,former Secretary of State of Alabama,2014,Governor,AL,chapman b,3,0,0
,REP,Mike Hubbard,Speaker of the Alabama House of Representatives (ran for re-election),2014,Governor,AL,hubbard m,2,1,0
,REP,Alabama State Board of Education,(ran for re-election),2014,Governor,AL,education a,0,0,0
,REP,Kay Ivey,Lieutenant Governor of Alabama ( ran for re-election ),2014,Governor,AL,ivey k,3,0,0
,REP,Tim James,"businessman, son of former Governor Fob James and candidate for Governor in 2002 and 2010",2014,Governor,AL,james t,3,0,1
,REP,Del Marsh,President Pro Tempore of the Alabama Senate (ran for re-election),2014,Governor,AL,marsh d,2,0,0
,REP,Roy Moore,Chief Justice of the Alabama Supreme Court and candidate for Governor in 2006 and 2010,2014,Governor,AL,moore r,0,0,1
,REP,Tony Petelos,Jefferson County Manager and former Mayor of Hoover,2014,Governor,AL,petelos t,1,0,0
,REP,Bob Riley,former governor of Alabama,2014,Governor,AL,riley b,3,0,0
,REP,Luther Strange,Attorney General of Alabama ( ran for re-election ),2014,Governor,AL,strange l,3,0,0
,DEM,Fayette,in 2012,2014,Governor,AL,fayette,0,0,0
,DEM,Parker Griffith,"former U.S. Representative, a former republican while serving in congress",2014,Governor,AL,griffith p,4,1,0
,DEM,Billy Beasley,state senator,2014,Governor,AL,beasley b,2,0,0
,DEM,Regina Benjamin,former Surgeon General of the United States,2014,Governor,AL,benjamin r,0,0,0
,DEM,Sue Bell Cobb,former chief justice of the Alabama Supreme Court,2014,Governor,AL,cobb s,0,0,0
,DEM,Vivian Davis Figures,Minority Leader of the Alabama Senate and nominee for the U.S. Senate in 2008,2014,Governor,AL,figures v,2,0,1
,DEM,Craig Ford,Minority Leader of the Alabama House of Representatives,2014,Governor,AL,ford c,2,1,0
,DEM,Jefferson County,Judge,2014,Governor,AL,county j,1,0,0
,DEM,John Rogers,state representative,2014,Governor,AL,rogers j,2,1,0
,DEM,Robert Vance,Jefferson County Circuit Judge and nominee for Chief Justice of the Alabama Supreme Court in 2012,2014,Governor,AL,vance r,1,0,1
,IND,Charles Barkley,former NBA player,2014,Governor,AL,barkley c,0,0,0
,DEM,Mike Ross,former U.S. representative,2014,Governor,AR,ross m,4,1,0
,DEM,Bill Halter,former lieutenant governor of Arkansas and candidate for the U.S. Senate in 2010 ( endorsed Ross ),2014,Governor,AR,halter b,3,0,1
,DEM,Dustin McDaniel,Arkansas Attorney General,2014,Governor,AR,mcdaniel d,3,0,0
,DEM,Shane Broadway,interim director of the Department of Higher Education and former state senator,2014,Governor,AR,broadway s,2,0,0
,DEM,John Burkhalter,former State Highway Commissioner ( running for Lieutenant Governor ),2014,Governor,AR,burkhalter j,0,0,0
,DEM,Conner Eldridge,U.S. Attorney for the Western District of Arkansas,2014,Governor,AR,eldridge c,0,0,0
,DEM,G. David Gearhart,chancellor of the University of Arkansas,2014,Governor,AR,gearhart g,0,0,0
,DEM,Pat Hays,former mayor of North Little Rock ( running for U.S. House ),2014,Governor,AR,hays p,1,0,0
,DEM,Keith Ingram,state senator ( endorsed Ross ),2014,Governor,AR,ingram k,2,0,0
,DEM,Bruce Maloch,state senator,2014,Governor,AR,maloch b,2,0,0
,DEM,Michael Malone,president and CEO of the Northwest Arkansas Council,2014,Governor,AR,malone m,0,0,0
,DEM,Vic Snyder,former U.S. representative,2014,Governor,AR,snyder v,4,1,0
,DEM,Arkansas Public Service Commission,and candidate for Attorney General of Arkansas in 2006,2014,Governor,AR,commission a,0,0,1
,DEM,Chris Thomason,chancellor of the University of Arkansas Community College at Hope and former state representative,2014,Governor,AR,thomason c,2,1,0
,DEM,Robert F. Thompson,state senator ( endorsed Ross ),2014,Governor,AR,thompson r,2,0,0
,DEM,Darrin Williams,"state representative, former speaker of the Arkansas House of Representatives",2014,Governor,AR,williams d,2,1,0
,REP,Asa Hutchinson,"former administrator of the DEA , former U.S. representative, nominee for U.S. Senate in 1986 and nominee for governor in 2006",2014,Governor,AR,hutchinson a,4,1,1
,REP,running for Lieutenant Governor,),2014,Governor,AR,governor r,0,0,0
,REP,Davy Carter,Speaker of the Arkansas House of Representatives,2014,Governor,AR,carter d,2,1,0
,REP,Tom Cotton,U.S. representative for Arkansas's 4th congressional district (2013–2015) ( running for the U.S. Senate ),2014,Governor,AR,cotton t,4,1,0
,REP,Rick Crawford,U.S. representative for Arkansas's 1st congressional district (2011–present),2014,Governor,AR,crawford r,4,1,0
,REP,Mark Darr,former lieutenant governor of Arkansas,2014,Governor,AR,darr m,3,0,0
,REP,G. David Gearhart,chancellor of the University of Arkansas,2014,Governor,AR,gearhart g,0,0,0
,REP,Tim Griffin,U.S. representative for Arkansas's 2nd congressional district (2011–2015) ( running for Lieutenant Governor ),2014,Governor,AR,griffin t,4,1,0
,REP,Missy Irvin,state senator,2014,Governor,AR,irvin m,2,0,0
,REP,Jim Keet,former state senator and nominee for governor in 2010,2014,Governor,AR,keet j,2,0,1
,REP,Johnny Key,state senator,2014,Governor,AR,key j,2,0,0
,REP,Mark Martin,Secretary of State of Arkansas ( running for re-election ),2014,Governor,AR,martin m,3,0,0
,REP,Sheffield Nelson,businessman and nominee for governor in 1990 and 1994,2014,Governor,AR,nelson s,0,0,1
,REP,Steve Womack,U.S. representative Arkansas's 3rd congressional district (2011–present),2014,Governor,AR,womack s,4,1,0
,REP,Green,"), attorney and nominee for Arkansas's 4th congressional district in 2008 , 2010 and 2012",2014,Governor,AR,green,0,0,1
,REP,Libertarian,"), DeKalb Township Constable, former mayor of Tull and nominee for the state senate in 2012",2014,Governor,AR,libertarian,1,0,1
,REP,Ken Bennett,Secretary of State of Arizona,2014,Governor,AZ,bennett k,3,0,0
,REP,Doug Ducey,State Treasurer of Arizona,2014,Governor,AZ,ducey d,3,0,0
,REP,Christine Jones,"former executive vice president, General Counsel and corporate secretary for Go Daddy",2014,Governor,AZ,jones c,0,0,0
,REP,Frank Riggs,former U.S. representative from California and candidate for the U.S. Senate from California in 1998,2014,Governor,AZ,riggs f,4,1,1
,REP,Scott Smith,Mayor of Mesa,2014,Governor,AZ,smith s,1,0,0
,REP,Andrew Thomas,"former county attorney of Maricopa County , disbarred lawyer, and candidate for Arizona Attorney General in 2010",2014,Governor,AZ,thomas a,1,0,1
,REP,Hugh Hallman,former mayor of Tempe ( ran for state treasurer and lost ),2014,Governor,AZ,hallman h,1,0,0
,REP,Al Melvin,state senator,2014,Governor,AZ,melvin a,2,0,0
,REP,John Molina,OB/GYN and former CEO of Phoenix Indian Medical Center,2014,Governor,AZ,molina j,0,0,0
,REP,Joe Arpaio,Sheriff of Maricopa County,2014,Governor,AZ,arpaio j,1,0,0
,REP,Jan Brewer,incumbent governor,2014,Governor,AZ,brewer j,3,0,0
,REP,Brenda Burns,Corporation Commissioner,2014,Governor,AZ,burns b,0,0,0
,REP,in 2012,( ran for Secretary of State and lost ),2014,Governor,AZ,in,0,0,0
,REP,Tom Horne,Attorney General of Arizona ( ran for re-election and lost ),2014,Governor,AZ,horne t,3,0,0
,REP,Martha McSally,retired United States Air Force colonel and nominee for Arizona's 2nd congressional district in 2012 ( ran for AZ-02 and won ),2014,Governor,AZ,mcsally m,0,0,1
,REP,Steve Pierce,state senator,2014,Governor,AZ,pierce s,2,0,0
,REP,Steven Seagal,actor and reserve deputy sheriff,2014,Governor,AZ,seagal s,1,0,0
,DEM,Fred DuVal,former chairman of the Arizona Board of Regents,2014,Governor,AZ,duval f,0,0,0
,DEM,Chad Campbell,Minority Leader of the Arizona House of Representatives,2014,Governor,AZ,campbell c,2,1,0
,DEM,Richard Carmona,former Surgeon General and nominee for the U.S. Senate in 2012,2014,Governor,AZ,carmona r,0,0,1
,DEM,Neil Giuliano,former mayor of Tempe,2014,Governor,AZ,giuliano n,1,0,0
,DEM,Terry Goddard,"former Arizona Attorney General , candidate for governor in 1994 and nominee for governor in 1990 and 2010 ( ran for Secretary of State and lost )",2014,Governor,AZ,goddard t,3,0,1
,DEM,Marco A. López Jr.,former chief of staff for the U.S. Customs and Border Protection and former mayor of Nogales,2014,Governor,AZ,lopez m,1,0,0
,DEM,Janet Napolitano,"president of the University of California , former secretary of the Department of Homeland Security and former governor of Arizona",2014,Governor,AZ,napolitano j,3,0,0
,DEM,Arizona Attorney General,in 2010 ( ran for Attorney General and lost ),2014,Governor,AZ,general a,0,0,0
,DEM,Greg Stanton,Mayor of Phoenix,2014,Governor,AZ,stanton g,1,0,0
,DEM,independent,"write-in candidate), Arizona Army National Guardsman",2014,Governor,AZ,independent,0,0,0
,DEM,Libertarian Party,"), perennial candidate",2014,Governor,AZ,party l,0,0,0
,DEM,unaffiliated,"write-in candidate), food account manager and brother of Eddie Johnson",2014,Governor,AZ,unaffiliated,0,0,0
,DEM,Americans Elect,"), candidate for the Americans Elect nomination for president in 2012",2014,Governor,AZ,elect a,0,0,1
,DEM,Mayor,"of Orange County, Florida in 2010",2014,Governor,CA,mayor,0,0,0
,DEM,Jerry Brown,incumbent governor of California,2014,Governor,CA,brown j,3,0,0
,DEM,Geby Espinosa,gym owner,2014,Governor,CA,espinosa g,0,0,0
,DEM,Hanala Sagal,author and fitness personality,2014,Governor,CA,sagal h,0,0,0
,DEM,Michael Strimling,attorney,2014,Governor,CA,strimling m,0,0,0
,DEM,Kamala Harris,Attorney General of California (ran for re-election ),2014,Governor,CA,harris k,3,0,0
,DEM,Gavin Newsom,Lieutenant Governor of California (ran for re-election ),2014,Governor,CA,newsom g,3,0,0
,DEM,Hilda Solis,former United States Secretary of Labor and former U.S. representative (ran for Los Angeles County Board of Supervisors ),2014,Governor,CA,solis h,4,1,0
,DEM,Antonio Villaraigosa,former Mayor of Los Angeles,2014,Governor,CA,villaraigosa a,1,0,0
,REP,Glenn Champ,businessman and engineer,2014,Governor,CA,champ g,0,0,0
,REP,Tim Donnelly,state assemblyman and Minuteman founder,2014,Governor,CA,donnelly t,2,0,0
,REP,Neel Kashkari,former acting assistant secretary of the Treasury for financial stability,2014,Governor,CA,kashkari n,0,0,0
,REP,Dennis Jackson,manufacturer,2014,Governor,CA,jackson d,0,0,0
,REP,Abel Maldonado,"former lieutenant governor of California , candidate for controller in 2006 , and candidate for CA-24 in 2012",2014,Governor,CA,maldonado a,3,0,1
,REP,Kevin McCarthy,U.S. representative and House Majority Whip,2014,Governor,CA,mccarthy k,4,1,0
,REP,John Moorlach,Orange County Supervisor,2014,Governor,CA,moorlach j,1,0,0
,REP,Steve Poizner,former Insurance Commissioner of California and candidate for governor in 2010,2014,Governor,CA,poizner s,3,0,1
,REP,George Radanovich,former U.S. representative,2014,Governor,CA,radanovich g,4,1,0
,REP,Meg Whitman,"CEO of Hewlett-Packard , former CEO of eBay and nominee for governor in 2010",2014,Governor,CA,whitman m,0,0,1
,REP,James P. Gray,former Orange County Superior Court Judge and Libertarian Party nominee for Vice President of the United States in 2012,2014,Governor,CA,gray j,1,0,1
,REP,Luis J. Rodriguez,"author, progressive activist and Justice Party nominee for Vice President of the United States in 2012",2014,Governor,CA,rodriguez l,0,0,1
,IND,American Independent Party,nominee for Vice President of the United States in 2012,2014,Governor,CA,party a,0,0,1
,IND,Cindy Sheehan,anti-war activist and Peace and Freedom Party nominee for Vice President of the United States in 2012,2014,Governor,CA,sheehan c,0,0,1
,IND,Bogdan Ambrozewicz,"small business owner, Independent candidate for the State Senate in 2012 and Republican candidate for the State Assembly in 2011",2014,Governor,CA,ambrozewicz b,0,0,1
,IND,Janel Buycks,minister/business owner,2014,Governor,CA,buycks j,0,0,0
,IND,Joe Leicht,golf course operator,2014,Governor,CA,leicht j,0,0,0
,IND,2003,"2006 , and 2010",2014,Governor,CA,,0,0,0
,DEM,John Hickenlooper,incumbent governor,2014,Governor,CO,hickenlooper j,3,0,0
,REP,Bob Beauprez,former U.S. representative and nominee for governor in 2006,2014,Governor,CO,beauprez b,4,1,1
,REP,Scott Gessler,Secretary of State of Colorado,2014,Governor,CO,gessler s,3,0,0
,REP,Mike Kopp,former Minority Leader of the Colorado Senate,2014,Governor,CO,kopp m,2,0,0
,REP,Pueblo,City Councillor,2014,Governor,CO,pueblo,1,0,0
,REP,Tom Tancredo,former U.S. representative and Constitution Party nominee for governor in 2010,2014,Governor,CO,tancredo t,4,1,1
,REP,Greg Brophy,state senator,2014,Governor,CO,brophy g,2,0,0
,REP,Adams County,Republican Party,2014,Governor,CO,county a,0,0,0
,REP,Roni Bell Sylvester,rancher,2014,Governor,CO,sylvester r,0,0,0
,REP,Steve Laffey,"former mayor of Cranston, Rhode Island and candidate for the U.S. Senate from Rhode Island in 2006 ( running for CO-04 )",2014,Governor,CO,laffey s,1,0,1
,REP,Dan Caplis,radio host,2014,Governor,CO,caplis d,0,0,0
,REP,Cory Gardner,U.S. representative ( running for the U.S. Senate ),2014,Governor,CO,gardner c,4,1,0
,REP,Jennifer George,attorney,2014,Governor,CO,george j,0,0,0
,REP,Cheri Gerou,state representative,2014,Governor,CO,gerou c,2,1,0
,REP,Victor Mitchell,former state representative,2014,Governor,CO,mitchell v,2,1,0
,REP,Ellen Roberts,state senator,2014,Governor,CO,roberts e,2,0,0
,REP,Bob Schaffer,"former U.S. representative, candidate for the U.S. Senate in 2004 and nominee for the U.S. Senate in 2008",2014,Governor,CO,schaffer b,4,1,1
,REP,Navy fighter pilot,(running for the State Senate),2014,Governor,CO,pilot n,0,0,0
,REP,Walker Stapleton,Colorado State Treasurer (running for re-election),2014,Governor,CO,stapleton w,3,0,0
,REP,John Suthers,Colorado Attorney General,2014,Governor,CO,suthers j,3,0,0
,REP,Matthew Hess,IT systems administrator,2014,Governor,CO,hess m,0,0,0
,REP,Harry Hempy,software engineer and progressive activist,2014,Governor,CO,hempy h,0,0,0
,IND,Paul N. Fiorino,performing arts teacher and perennial candidate,2014,Governor,CO,fiorino p,0,0,0
,IND,Jim Rundberg,businessman,2014,Governor,CO,rundberg j,0,0,0
,DEM,Dannel Malloy,incumbent Governor,2014,Governor,CT,malloy d,3,0,0
,DEM,Connecticut's 4th congressional district,in 2008 and candidate for the U.S. Senate in 2010 and 2012,2014,Governor,CT,district c,0,0,1
,DEM,Nancy Wyman,incumbent Lieutenant Governor,2014,Governor,CT,wyman n,3,0,0
,REP,Thomas C. Foley,former U.S. Ambassador to Ireland and nominee for governor in 2010,2014,Governor,CT,foley t,0,0,1
,REP,John P. McKinney,Minority Leader of the Connecticut Senate,2014,Governor,CT,mckinney j,2,0,0
,REP,Toni Boucher,state senator,2014,Governor,CT,boucher t,2,0,0
,REP,Mark Boughton,Mayor of Danbury and nominee for lieutenant governor in 2010,2014,Governor,CT,boughton m,1,0,1
,REP,Connecticut Attorney General,in 2002 and 2010,2014,Governor,CT,general c,0,0,0
,REP,Shelton,(ran for Lieutenant Governor),2014,Governor,CT,shelton,0,0,0
,REP,West Hartford,Town Councilor and nominee for Connecticut's 1st congressional district in 2008 (running as unaffiliated),2014,Governor,CT,hartford w,0,0,1
,REP,Lawrence F. Cafero,Minority Leader of the Connecticut House of Representatives,2014,Governor,CT,cafero l,2,1,0
,REP,Michael Fedele,former lieutenant governor and candidate for governor in 2010 (running for Mayor of Stamford ),2014,Governor,CT,fedele m,3,0,1
,REP,Pauline R. Kezer,former Secretary of the State of Connecticut,2014,Governor,CT,kezer p,0,0,0
,REP,Linda McMahon,businesswoman and nominee for the U.S. Senate in 2010 and 2012,2014,Governor,CT,mcmahon l,0,0,1
,REP,Chris Shays,former U.S. Representative and candidate for the U.S. Senate in 2012,2014,Governor,CT,shays c,4,1,1
,REP,Penny Bacchiochi,state representative,2014,Governor,CT,bacchiochi p,2,1,0
,REP,Heather Bond Somers,Groton Town Councilor and former Mayor of Groton,2014,Governor,CT,somers h,1,0,0
,REP,David M. Walker,former Comptroller General of the United States,2014,Governor,CT,walker d,0,0,0
,IND,West Hartford,"Town Councilor and Republican nominee for Connecticut's 1st congressional district in 2008   Running mate: Chester Harris, former Republican Haddam School Board Member",2014,Governor,CT,hartford w,1,0,1
,IND,Jonathan Pelto,"Democratic former state representative     Running mate: Ebony Murphy-Root, teacher",2014,Governor,CT,pelto j,2,1,0
,REP,Yinka Adeshina,pharmacist,2014,Governor,FL,adeshina y,0,0,0
,REP,governor,in 1998,2014,Governor,FL,governor,0,0,0
,REP,Rick Scott,incumbent governor,2014,Governor,FL,scott r,3,0,0
,REP,Jeff Atwater,Chief Financial Officer of Florida (running for re-election),2014,Governor,FL,atwater j,0,0,0
,REP,Pam Bondi,Florida Attorney General (running for re-election),2014,Governor,FL,bondi p,3,0,0
,REP,Bill McCollum,former Florida attorney general and candidate for governor in 2010,2014,Governor,FL,mccollum b,3,0,1
,REP,Adam Putnam,Florida Commissioner of Agriculture (running for re-election),2014,Governor,FL,putnam a,3,0,0
,REP,John E. Thrasher,state senator,2014,Governor,FL,thrasher j,2,0,0
,REP,Will Weatherford,Speaker of the Florida House of Representatives,2014,Governor,FL,weatherford w,2,1,0
,REP,Allen West,former U.S. Representative,2014,Governor,FL,west a,4,1,0
